title,type,address,rating
Покровское-Стрешнево ,Гостиница,"​Волоколамское шоссе, 30 к1, Москва",4.2
Третий этаж ,Мини-отель,"​Шоссе Энтузиастов, 31 ст39, Москва",4.3
Twelve Reasons ,Гостиница,"​Улица Земляной Вал, 56 ст3, Москва",5.0
Тверская ,Апарт-отель,"​1-я Тверская-Ямская улица, 25 ст2, Москва",4.7
Антресоль ,Мини-отель,"​Дмитровское шоссе, 5 к1, Москва",4.7
Арбат ,Мини-отель,"​Улица Новый Арбат, 25, Москва",3.5
Benvenuti hotel ,Гостиницы,"​Волгоградский проспект, 105, Москва",4.8
Резиденции Москва ,Сервисные апартаменты,"​Гостиница Москва, улица Охотный Ряд, 2, Москва",4.5
AZIMUT Сити Отель Смоленская Москва ,Гостиницы,"​Смоленская улица, 8, Москва",4.6
Night train motel ,Отель,"​1-й Угрешский проезд, 2 к1, Москва",3.8
Local ,Мини-отель,"​Дмитровское шоссе, 46 к1, Москва",4.6
Моми ,Гостиничный холдинг,"​Автозаводская улица, 17 к3, Москва",4.9
AZIMUT Сити Отель Олимпик Москва ,Гостиницы,"​Олимпийский проспект, 18/1, Москва",4.5
"Dream, отель ",Гостиницы,"​Новослободская улица, 71, Москва",
Novotel Moscow Centre ,Гостиница,"​Новослободская улица, 23, Москва",4.3
Юпитер 51 ,Гостиницы,"​Проспект Андропова, 10, Москва",
Hotel Taganka Moscow ,Гостиницы,"​ГРК The Rooms Boutique Hotel, Николоямская улица, 38/23 ст3, Москва",4.1
Minima hotels ,Сеть гостиниц,"​Ансамбль Миусского трамвайного депо, улица Лесная, 20 ст2, Москва",4.2
Манки ,Ресторан,"​Ольховская улица, 23, Москва",4.6
Максима Заря ,Гостинично-офисный комплекс,"​Гостиничная улица, 4 к9, Москва",4.7
Otel elit ,Гостиница,"​Волгоградский проспект, 98 к1, Москва",4.0
Mövenpick Moscow Taganskaya ,Гостиница,"​Улица Земляной Вал, 70, Москва",4.7
Trips Hotel ,Сеть отелей,"​Грохольский переулок, 32 ст2, Москва",4.5
Окружной ,Апарт-отель,"​Дмитровское шоссе, 61 к1, Москва",3.9
